Timestamp,1.1. What issues have you encountered with Airflow logs?,"1.1.1. Other issues, examples or clarifications:",1.2. What challenges have you been facing with Airflow's stack traces?,1.2.1. Other challenges:,1.3. How would you rate the ease of understanding stack traces in Airflow?,1.4. What improvements to Airflow’s traceback information would make debugging easier?,1.4.1. Potential improvements:,2.1. What issues have you encountered with Airflow error messages?,2.1.1. Other issues:,2.2. How would you rate the clarity & actionability of Airflow error messages?,2.3. Which of the following suggestions would improve Airflow's error handling? [1st],2.3. Which of the following suggestions would improve Airflow's error handling? [2nd],2.3. Which of the following suggestions would improve Airflow's error handling? [3rd],2.3. Which of the following suggestions would improve Airflow's error handling? [4th],2.3. Which of the following suggestions would improve Airflow's error handling? [5th],3.1. Which tools do you use to develop Airflow DAGs?,3.2. How satisfied are you with Airflow’s integration with modern debugging tools and the related documentation?,"3.3. How often do you use external tools (i.e. besides Airflow's API, UI, and CLI) to supplement Airflow's debugging capabilities?",3.4. What sort of external tools do you use in conjunction with Airflow for debugging?,3.5. What integrations or tooling improvements would you like to see in Airflow to enhance your debugging experience?,3.6. Which of the following code assistance and inspection tools do you use while developing Airflow DAGs?,4.1. What is the most time-consuming activity related to developing new DAGs? [Business logic],4.1. What is the most time-consuming activity related to developing new DAGs? [DAG authoring],4.1. What is the most time-consuming activity related to developing new DAGs? [Iteration],4.1. What is the most time-consuming activity related to developing new DAGs? [Integration],4.1. What is the most time-consuming activity related to developing new DAGs? [Maintenance],4.2 What can be improved about the workflow activities mentioned above?,4.3. How often do you leave the Airflow UI or CLI (and rely on external tools) to achieve each of the above? [Business logic],4.3. How often do you leave the Airflow UI or CLI (and rely on external tools) to achieve each of the above? [DAG authoring],4.3. How often do you leave the Airflow UI or CLI (and rely on external tools) to achieve each of the above? [Iteration],4.3. How often do you leave the Airflow UI or CLI (and rely on external tools) to achieve each of the above? [Integration],4.3. How often do you leave the Airflow UI or CLI (and rely on external tools) to achieve each of the above? [Maintenance],4.4. Which of the following additions to the Airflow UI could be useful to your debugging efforts?,4.4.1. Other suggestions:,4.5. What could make DAG.test() more useful?,4.5.1. Other suggestions:,4.6. What kind of remote Airflow environment(s) do you use?,"4.7. How would you rate the ease of debugging DAGs in a remote Airflow environment (Kubernetes, Docker, etc.)?",4.7.1. What can make debugging a remote Airflow deployment easier or more efficient?,5.1. How would you describe your proficiency level with Airflow?,5.2. What are your responsibilities in the context of using Airflow?,5.3. How would you describe your role in the context where you use Airflow most often?,6.1. Free-form feedback,"6.2. Feedback about the survey itself (length, thoroughness, relevance, etc.)"
9/18/2024 8:47:54,"Logs are difficult to search and filter, Logs are not aligned to technical layers/responsibilities (infrastructure, application, business logic)",,Stack traces do not provide enough context about the DAG execution state,,4,,"Inclusion of specific suggestions or hints for resolving the issue, Enhanced visibility of nested errors and their causes, Integration with visualization tools to trace execution flow","Error messages do not provide clear guidance on resolving issues, Error messages lack context or details about the failure","Example of a misleading error message: if the webserver is set up to use ldap, and the python-ldap dependency is missing, inputting the right user will say that the credentials are wrong instead of issuing an ""internal server error; consult the logs"" ",3,D,G,F,H,A,"Source code editor (e.g., VSCode, Sublime Text), Integrated Development Environment (IDE) (e.g., PyCharm, Eclipse)",2,5,"Debuggers (e.g., pdb, debugpy, PyCharm)","Attaching to a ""remote"" Airflow instance should be easier and better documented.","Linters (e.g. Flake8, Ruff-lint, Mypy, Pylint), Formatters (e.g. Black, Ruff-format, autopep8), Auto-completion and AI tools (e.g. Copilot, IntelliSense, Cursor)",3rd,4th,Most,2nd,Least,"Maintenance - in my case this involves amendments to the DAG due to unforeseen/unaccounted issues encountered in productions. For example: trying to save a file to a folder containing the year or month, without checking that the folder exists - will fail for the first dagruns of the month/year. A lint warning when saving files without first verifying the destination's existence would be ideal in this case.",Always,Always,Often,Often,Often,"An integrated terminal in the UI, An integrated debugger (for stepping, pause-on-error, workspace inspection and modification, etc.), A file explorer, Ability to make temporary/permanent changes to DAG code, potentially exporting as a new file., Ability to package the code and necessary debugging context to allow reproducing the issue on another airflow instance, to facilitate bug reports and help requests., Integration with SCM platforms (e.g. GitHub, Bitbucket, GitLab) to streamline code modifications., Integration with task management platforms (e.g. Trello, Jira) to streamline the opening of feature/bug tickets.",,"Mock file system queries/reads/writes, Mock network requests/responses, Mock dataset events, Store/load the state of a DAG, Ability to jump into a specific task/operator with a user-provided state",,"Bare metal or VM-based install, Docker",1,"Better documentation of how to attach a debugger to a particular DAG{run}, with step by step instructions for at least vscode and pycharm. Perhaps add a UI checkbox that says ""delay execution until a debugger is attached"".",Advanced (made and debugged several DAGs over the last few years),"DAG development (e.g. Data Engineer, Software Developer), Airflow administration (e.g. Administrator)","Senior team member, Technical supervisor (e.g software architect)","Being able to save, share, and restore a debugging session would be amazing.","We should be more careful with ""linear scale"" questions, to always ensure that a consistent  side means the ""current state is good"" and the other meaning the opposite."
9/2/2024 19:10:20,"Logs are fragmented across different systems/components, Logs are not verbose enough, Logs are too verbose, Logs are non-existent or missing in some cases","Looping within the scheduler makes logs really hard to read.  Logs frequently don't say why a task isn't running e.g. various parallelism limits, time of day restrictions,  celery workers at max concurrence,  etc.  ",,,4,,"More detailed context about the state of the DAG and task at the time of failure, Integration with visualization tools to trace execution flow","Error messages do not provide clear guidance on resolving issues, Error messages lack context or details about the failure",,2,B,A,E,,,"Text editor (e.g., Vim, Notepad++), Source code editor (e.g., VSCode, Sublime Text)",3,1,"Log management systems (e.g., ELK Stack, Splunk)",Remote debugging of tasks through vscode. ,"Formatters (e.g. Black, Ruff-format, autopep8), Auto-completion and AI tools (e.g. Copilot, IntelliSense, Cursor)",2nd,4th,Most,3rd,,"Making it easier to upload a new dag, clear a specific task, and rerun it, and see logs in a single ide command. Parsing the dagbag right away when it changes. ",Often,Always,Rarely,Rarely,Always,"An integrated debugger (for stepping, pause-on-error, workspace inspection and modification, etc.), Integration with SCM platforms (e.g. GitHub, Bitbucket, GitLab) to streamline code modifications.",,"Store/load the state of a DAG, Ability to jump into a specific task/operator with a user-provided state",,"Self-Managed Airflow on Kubernetes (using official Helm Chart), Managed Airflow by a cloud provider (Astronomer, AWS, Azure, GCP etc.), Bare metal or VM-based install",1,"Apis to write extensions for ides that allow uploading of dags and synchronously forxing the reparse of a dag, apis to fetch mark a task as a debug breakpoint and fetch a url ides can connect to to stream logs and apis to fetch a puthon remote debugger endpoint for vscode","Power user (made and debugged DAGs for several years using pdb, IDE or remote debuggers, etc.)",Astronomer employee,,,
9/2/2024 20:59:44,"Logs are difficult to search and filter, Logs are not aligned to technical layers/responsibilities (infrastructure, application, business logic)",,,,,,Integration with visualization tools to trace execution flow,"Error messages are vague or non-specific, Error messages do not provide clear guidance on resolving issues",,,,,,,,"Source code editor (e.g., VSCode, Sublime Text), Jupyter Notebooks",2,1,"Monitoring tools (e.g., Prometheus, Grafana)",,"Linters (e.g. Flake8, Ruff-lint, Mypy, Pylint), Formatters (e.g. Black, Ruff-format, autopep8), Auto-completion and AI tools (e.g. Copilot, IntelliSense, Cursor)",,,,,,,,,,,,"An integrated terminal in the UI, An integrated debugger (for stepping, pause-on-error, workspace inspection and modification, etc.), Ability to make temporary/permanent changes to DAG code, potentially exporting as a new file., Ability to package the code and necessary debugging context to allow reproducing the issue on another airflow instance, to facilitate bug reports and help requests., Integration with task management platforms (e.g. Trello, Jira) to streamline the opening of feature/bug tickets.",,"Mock file system queries/reads/writes, Mock network requests/responses, Mock dataset events, Store/load the state of a DAG, Ability to jump into a specific task/operator with a user-provided state",,Self-Managed Airflow on Kubernetes (using official Helm Chart),3,,Advanced (made and debugged several DAGs over the last few years),"DAG development (e.g. Data Engineer, Software Developer)",Junior team member,,
9/2/2024 21:00:29,"Logs are difficult to search and filter, Logs are not aligned to technical layers/responsibilities (infrastructure, application, business logic)",Maybe colour coding for Errors and Warnings will be helpful,Stack traces are incomplete or missing critical information,,3,,"Simplified and more readable stack traces, More detailed context about the state of the DAG and task at the time of failure, Better correlation between different logs and stack traces",Error messages are inconsistent across different components,,3,A,E,B,D,I,"Text editor (e.g., Vim, Notepad++), Source code editor (e.g., VSCode, Sublime Text)",3,4,"Monitoring tools (e.g., Prometheus, Grafana)",,"Linters (e.g. Flake8, Ruff-lint, Mypy, Pylint), Formatters (e.g. Black, Ruff-format, autopep8), Auto-completion and AI tools (e.g. Copilot, IntelliSense, Cursor)",2nd,3rd,3rd,Most,2nd,,Sometimes,Rarely,Rarely,Never,Never,"An integrated terminal in the UI, An integrated debugger (for stepping, pause-on-error, workspace inspection and modification, etc.), A file explorer, Ability to make temporary/permanent changes to DAG code, potentially exporting as a new file., Ability to package the code and necessary debugging context to allow reproducing the issue on another airflow instance, to facilitate bug reports and help requests., Integration with SCM platforms (e.g. GitHub, Bitbucket, GitLab) to streamline code modifications., Integration with task management platforms (e.g. Trello, Jira) to streamline the opening of feature/bug tickets.",,"Mock file system queries/reads/writes, Mock network requests/responses, Ability to jump into a specific task/operator with a user-provided state",,Airflow installed on AWS EC2,2,,"Advanced (made and debugged several DAGs over the last few years), Administrator (supported Airflow installations at a platform level)","Airflow administration (e.g. Administrator), Airflow monitoring & availability (e.g. SRE, DevOps)",Technical supervisor (e.g software architect),,Thank you for all the work you guys doing ..
9/2/2024 21:36:18,"Logs are fragmented across different systems/components, Logs are difficult to search and filter, Logs are not aligned to technical layers/responsibilities (infrastructure, application, business logic)",,Stack traces do not provide enough context about the DAG execution state,,3,,"Inclusion of specific suggestions or hints for resolving the issue, Enhanced visibility of nested errors and their causes, Integration with visualization tools to trace execution flow","Error messages are vague or non-specific, Error messages do not provide clear guidance on resolving issues, Error messages lack context or details about the failure, Error messages are inconsistent across different components",,2,D,C,A,G,F,"Integrated Development Environment (IDE) (e.g., PyCharm, Eclipse)",2,4,"Log management systems (e.g., ELK Stack, Splunk), Monitoring tools (e.g., Prometheus, Grafana), Debuggers (e.g., pdb, debugpy, PyCharm)",,,Least,4th,Most,2nd,3rd,,Never,Rarely,Sometimes,Always,Often,"An integrated terminal in the UI, An integrated debugger (for stepping, pause-on-error, workspace inspection and modification, etc.), A file explorer, Ability to make temporary/permanent changes to DAG code, potentially exporting as a new file., Ability to package the code and necessary debugging context to allow reproducing the issue on another airflow instance, to facilitate bug reports and help requests., Integration with SCM platforms (e.g. GitHub, Bitbucket, GitLab) to streamline code modifications.",,"Mock file system queries/reads/writes, Mock network requests/responses, Mock dataset events, Store/load the state of a DAG, Ability to jump into a specific task/operator with a user-provided state",,Self-Managed Airflow on Kubernetes (using official Helm Chart),2,,"Power user (made and debugged DAGs for several years using pdb, IDE or remote debuggers, etc.)","DAG development (e.g. Data Engineer, Software Developer)",Technical supervisor (e.g software architect),,
9/2/2024 21:58:00,"Logs are fragmented across different systems/components, Logs are non-existent or missing in some cases",,Stack traces are incomplete or missing critical information,,3,,"Better correlation between different logs and stack traces, Enhanced visibility of nested errors and their causes, Integration with visualization tools to trace execution flow","Error messages are vague or non-specific, Error messages are inconsistent across different components",,3,D,H,A,B,F,"Source code editor (e.g., VSCode, Sublime Text)",2,5,"Log management systems (e.g., ELK Stack, Splunk), Monitoring tools (e.g., Prometheus, Grafana)",,"Linters (e.g. Flake8, Ruff-lint, Mypy, Pylint), Formatters (e.g. Black, Ruff-format, autopep8)",2nd,4th,Most,3rd,Least,,Always,Always,Sometimes,Sometimes,Never,"An integrated terminal in the UI, An integrated debugger (for stepping, pause-on-error, workspace inspection and modification, etc.), A file explorer, Ability to package the code and necessary debugging context to allow reproducing the issue on another airflow instance, to facilitate bug reports and help requests., Integration with SCM platforms (e.g. GitHub, Bitbucket, GitLab) to streamline code modifications.",,"Mock file system queries/reads/writes, Mock network requests/responses, Mock dataset events",,Self-Managed Airflow on Kubernetes (using official Helm Chart),1,,"Power user (made and debugged DAGs for several years using pdb, IDE or remote debuggers, etc.), Administrator (supported Airflow installations at a platform level)","DAG development (e.g. Data Engineer, Software Developer), Airflow administration (e.g. Administrator), Airflow monitoring & availability (e.g. SRE, DevOps)",Technical supervisor (e.g software architect),,
9/2/2024 22:20:35,"Logs are too verbose, Logs are not aligned to technical layers/responsibilities (infrastructure, application, business logic)",,Stack traces do not provide enough context about the DAG execution state,,3,,"Inclusion of specific suggestions or hints for resolving the issue, Integration with visualization tools to trace execution flow",Error messages do not provide clear guidance on resolving issues,,3,F,G,H,B,A,"Integrated Development Environment (IDE) (e.g., PyCharm, Eclipse)",2,1,"Debuggers (e.g., pdb, debugpy, PyCharm)",,"Linters (e.g. Flake8, Ruff-lint, Mypy, Pylint), Auto-completion and AI tools (e.g. Copilot, IntelliSense, Cursor)",3rd,4th,2nd,Most,,,Always,Always,,Sometimes,Rarely,"Integration with SCM platforms (e.g. GitHub, Bitbucket, GitLab) to streamline code modifications.",,Mock dataset events,,Self-Managed Airflow on Kubernetes (using official Helm Chart),3,,Beginner (made a handful of DAGs recently),"DAG development (e.g. Data Engineer, Software Developer), Airflow administration (e.g. Administrator), Airflow monitoring & availability (e.g. SRE, DevOps)","Senior team member, Technical supervisor (e.g software architect)",,
9/2/2024 22:55:59,,"Logs disappear when there are infra problems, eg out of memory",,,2,,,,,2,G,,,,,"Source code editor (e.g., VSCode, Sublime Text)",1,5,"Log management systems (e.g., ELK Stack, Splunk), Monitoring tools (e.g., Prometheus, Grafana), Profiling tools (e.g. cProfile, Austin), Debuggers (e.g., pdb, debugpy, PyCharm)",Easier to run locally; easier to integrate with VS code debugger,"Linters (e.g. Flake8, Ruff-lint, Mypy, Pylint), Formatters (e.g. Black, Ruff-format, autopep8), Auto-completion and AI tools (e.g. Copilot, IntelliSense, Cursor)",2nd,Least,,4th,3rd,Make it easier to run locally; make it easier to debug with IDE such as VS code,Always,Rarely,Often,Sometimes,Sometimes,"An integrated debugger (for stepping, pause-on-error, workspace inspection and modification, etc.)",Easier to run locally and integrate with debugger in IDE such as VS code,,,Self-Managed Airflow on Kubernetes (using official Helm Chart),2,"Export statistics to CSV. I often use the ""Browse"" tab (""Dag runs"" or ""Task instances"") to check for failures, durations, etc. and further analysis, such as % of failures or duration statistics involve high effort such as parsing the html into excel, or creating a script to fetch this info from the API.","Beginner (made a handful of DAGs recently), Advanced (made and debugged several DAGs over the last few years)","DAG development (e.g. Data Engineer, Software Developer)",Senior team member,Easier to run locally and integrate with debugger in IDE such as VS code,
9/3/2024 1:22:49,"Logs are fragmented across different systems/components, Logs are not aligned to technical layers/responsibilities (infrastructure, application, business logic)",,Stack traces do not provide enough context about the DAG execution state,,3,,"Simplified and more readable stack traces, More detailed context about the state of the DAG and task at the time of failure, Enhanced visibility of nested errors and their causes, Integration with visualization tools to trace execution flow","Error messages are vague or non-specific, Error messages do not provide clear guidance on resolving issues",,2,A,B,D,E,F,"Source code editor (e.g., VSCode, Sublime Text), Integrated Development Environment (IDE) (e.g., PyCharm, Eclipse)",2,2,"Log management systems (e.g., ELK Stack, Splunk), Monitoring tools (e.g., Prometheus, Grafana)",,"Linters (e.g. Flake8, Ruff-lint, Mypy, Pylint), Formatters (e.g. Black, Ruff-format, autopep8)",2nd,Least,3rd,Most,4th,Documentation around integration can be improved providing more explanation different parameters with some examples.,Often,Never,Sometimes,Often,Rarely,"An integrated debugger (for stepping, pause-on-error, workspace inspection and modification, etc.), A file explorer, Ability to make temporary/permanent changes to DAG code, potentially exporting as a new file., Ability to package the code and necessary debugging context to allow reproducing the issue on another airflow instance, to facilitate bug reports and help requests., Integration with SCM platforms (e.g. GitHub, Bitbucket, GitLab) to streamline code modifications.",,"Mock network requests/responses, Mock dataset events, Ability to jump into a specific task/operator with a user-provided state",,Self-Managed Airflow on Kubernetes (using official Helm Chart),2,,"Advanced (made and debugged several DAGs over the last few years), Administrator (supported Airflow installations at a platform level)","DAG development (e.g. Data Engineer, Software Developer), Airflow monitoring & availability (e.g. SRE, DevOps)",Technical supervisor (e.g software architect),,
9/3/2024 1:57:02,"Logs are fragmented across different systems/components, Logs are non-existent or missing in some cases",,Stack traces are too complex and hard to follow,,3,,"Simplified and more readable stack traces, More detailed context about the state of the DAG and task at the time of failure, Better correlation between different logs and stack traces, Inclusion of specific suggestions or hints for resolving the issue, Enhanced visibility of nested errors and their causes, Integration with visualization tools to trace execution flow","Error messages are vague or non-specific, Error messages do not provide clear guidance on resolving issues, Error messages lack context or details about the failure, Error messages are inconsistent across different components",,1,F,D,E,E,D,"Source code editor (e.g., VSCode, Sublime Text)",1,3,"Monitoring tools (e.g., Prometheus, Grafana), Tracing tools (e.g., Jaeger, Zipkin, OpenTelemetry), Debuggers (e.g., pdb, debugpy, PyCharm)",,"Linters (e.g. Flake8, Ruff-lint, Mypy, Pylint), Formatters (e.g. Black, Ruff-format, autopep8), Auto-completion and AI tools (e.g. Copilot, IntelliSense, Cursor)",2nd,3rd,3rd,3rd,3rd,,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,"An integrated terminal in the UI, An integrated debugger (for stepping, pause-on-error, workspace inspection and modification, etc.), Ability to make temporary/permanent changes to DAG code, potentially exporting as a new file., Ability to package the code and necessary debugging context to allow reproducing the issue on another airflow instance, to facilitate bug reports and help requests., Integration with SCM platforms (e.g. GitHub, Bitbucket, GitLab) to streamline code modifications., Integration with task management platforms (e.g. Trello, Jira) to streamline the opening of feature/bug tickets.",,"Mock file system queries/reads/writes, Mock network requests/responses, Mock dataset events, Store/load the state of a DAG, Ability to jump into a specific task/operator with a user-provided state",,"Managed Airflow by a cloud provider (Astronomer, AWS, Azure, GCP etc.)",4,,Advanced (made and debugged several DAGs over the last few years),"DAG development (e.g. Data Engineer, Software Developer)",Senior team member,,
